Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,NBA,BOS,57,25,1,,27.4,6-Jun,222,,82,19980,3460,7278,0.475,1315,3492,0.377,2145,3786,0.567,1436,1769,0.812,796,2921,3717,2186,521,430,1095,1542,9671
2021-22,NBA,BOS,51,31,1,,26.1,5-Jun,218,,82,19905,3341,7167,0.466,1085,3044,0.356,2256,4123,0.547,1397,1713,0.816,863,2915,3778,2036,591,478,1118,1521,9164
2020-21,NBA,BOS,36,36,4,,25.1,5-Jun,220,,72,17380,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,1160,1496,0.775,765,2421,3186,1689,556,383,1012,1471,8109
2019-20,NBA,BOS,48,24,2,,25.3,5-Jun,221,,72,17430,2971,6448,0.461,905,2487,0.364,2066,3961,0.522,1336,1668,0.801,768,2549,3317,1655,595,406,995,1553,8183
2018-19,NBA,BOS,49,33,3,,25.7,6-Jun,221,,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216
2017-18,NBA,BOS,55,27,2,,24.7,6-Jun,221,,82,19805,3141,6975,0.45,939,2492,0.377,2202,4483,0.491,1308,1697,0.771,767,2878,3645,1842,604,373,1149,1618,8529
2016-17,NBA,BOS,53,29,1,,25.9,5-Jun,219,,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857
2015-16,NBA,BOS,48,34,2,,25.2,5-Jun,220,,82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669
2014-15,NBA,BOS,40,42,2,,25,6-Jun,221,,82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312
2013-14,NBA,BOS,25,57,4,,25.4,6-Jun,221,,82,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892
2012-13,NBA,BOS,41,40,3,,29.1,6-Jun,214,,81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.776,654,2533,3187,1843,667,365,1181,1717,7818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,PHI,54,28,2,,28.2,6-Jun,224,,82,19880,3347,6870,0.487,1035,2675,0.387,2312,4195,0.551,1719,2058,0.835,715,2641,3356,2063,635,389,1121,1675,9448
2021-22,NBA,PHI,51,31,2,,26.8,6-Jun,220,,82,19805,3230,6932,0.466,950,2608,0.364,2280,4324,0.527,1605,1955,0.821,700,2770,3470,1945,633,435,1027,1590,9015
2020-21,NBA,PHI,49,23,1,,27.1,7-Jun,222,,72,17430,2981,6257,0.476,811,2169,0.374,2170,4088,0.531,1409,1836,0.767,722,2522,3244,1706,655,447,1040,1456,8182
2019-20,NBA,PHI,43,30,3,,26.3,7-Jun,224,,73,17595,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,1236,1638,0.755,764,2553,3317,1884,586,389,1037,1529,8084
2018-19,NBA,PHI,51,31,2,,26.4,7-Jun,221,,82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445
2017-18,NBA,PHI,52,30,3,,25.8,7-Jun,220,,82,19780,3349,7098,0.472,901,2445,0.369,2448,4653,0.526,1405,1868,0.752,893,2996,3889,2221,682,420,1353,1811,9004
2016-17,NBA,PHI,28,54,4,,24.6,7-Jun,219,,82,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400
2015-16,NBA,PHI,10,72,5,,23.3,6-Jun,215,,82,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780,7988
2014-15,NBA,PHI,18,64,4,,23.2,7-Jun,214,,82,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.676,978,2536,3514,1683,789,487,1453,1778,7542
2013-14,NBA,PHI,19,63,5,,23.4,7-Jun,213,,82,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.477,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155
2012-13,NBA,PHI,34,48,4,,25.2,7-Jun,213,,82,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.729,896,2493,3389,1867,609,384,1070,1505,7640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,NYK,47,35,3,,24.5,6-Jun,218,,82,19955,3444,7328,0.47,1037,2930,0.354,2407,4398,0.547,1589,2087,0.761,1031,2790,3821,1880,527,340,1065,1666,9514
2021-22,NBA,NYK,37,45,5,,26,6-Jun,218,,82,19780,3088,7069,0.437,1082,3029,0.357,2006,4040,0.497,1473,1980,0.744,941,2841,3782,1793,570,399,1087,1672,8731
2020-21,NBA,NYK,41,31,3,,25.6,6-Jun,217,,72,17430,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,1181,1506,0.784,696,2554,3250,1541,507,365,932,1473,7706
2019-20,NBA,NYK,21,45,5,,24.5,6-Jun,222,,66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.694,795,2274,3069,1456,504,313,946,1464,6983
2018-19,NBA,NYK,17,65,5,,23.4,7-Jun,220,,82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575
2017-18,NBA,NYK,29,53,4,,26.3,7-Jun,219,,82,19830,3334,7193,0.464,673,1914,0.352,2661,5279,0.504,1225,1557,0.787,859,2752,3611,1912,552,421,1207,1682,8566
2016-17,NBA,NYK,31,51,3,,27.3,7-Jun,216,,82,19855,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1139,1668,8556
2015-16,NBA,NYK,32,50,3,,27.2,7-Jun,226,,82,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1099,1616,8065
2014-15,NBA,NYK,17,65,5,,26.9,6-Jun,217,,82,19855,2882,6726,0.428,560,1614,0.347,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535
2013-14,NBA,NYK,37,45,3,,28.3,6-Jun,219,,82,19855,3027,6739,0.449,759,2038,0.372,2268,4701,0.482,1271,1670,0.761,870,2437,3307,1641,631,367,1063,1815,8084
2012-13,NBA,NYK,54,28,1,,30.2,6-Jun,218,,82,19730,2996,6689,0.448,891,2371,0.376,2105,4318,0.487,1313,1729,0.759,890,2436,3326,1579,672,294,988,1650,8196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,BRK,45,37,4,,28,6-Jun,216,,82,19730,3399,6978,0.487,1048,2771,0.378,2351,4207,0.559,1449,1811,0.8,674,2648,3322,2093,585,506,1127,1730,9295
2021-22,NBA,BRK,44,38,4,,29.1,5-Jun,217,,82,19755,3442,7251,0.475,940,2602,0.361,2502,4649,0.538,1434,1781,0.805,844,2796,3640,2071,582,448,1153,1670,9258
2020-21,NBA,BRK,48,24,2,,28.2,6-Jun,219,,72,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537
2019-20,NBA,BRK,35,37,4,,26.3,6-Jun,220,,72,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048
2018-19,NBA,BRK,42,40,4,,25.4,7-Jun,215,,82,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204
2017-18,NBA,BRK,28,54,5,,25.1,7-Jun,218,,82,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741
2016-17,NBA,BRK,20,62,5,,26,7-Jun,224,,82,19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673
2015-16,NBA,BRK,21,61,4,,26.9,6-Jun,220,,82,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089
2014-15,NBA,BRK,38,44,3,,28.6,7-Jun,224,,82,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038
2013-14,NBA,BRK,44,38,2,,30,7-Jun,219,,82,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079
2012-13,NBA,BRK,49,33,2,,28.6,7-Jun,223,,82,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,TOR,41,41,5,,25.8,7-Jun,217,,82,19805,3434,7489,0.459,880,2626,0.335,2554,4863,0.525,1506,1922,0.784,1043,2485,3528,1961,772,424,956,1641,9254
2021-22,NBA,TOR,48,34,3,,24.8,6-Jun,216,,82,19855,3332,7489,0.445,979,2808,0.349,2353,4681,0.503,1327,1749,0.759,1095,2622,3717,1809,738,376,1021,1607,8970
2020-21,NBA,TOR,27,45,5,,26.6,5-Jun,215,,72,17305,2859,6383,0.448,1041,2831,0.368,1818,3552,0.512,1252,1536,0.815,680,2314,2994,1735,618,389,952,1526,8011
2019-20,NBA,TOR,53,19,1,,26.6,5-Jun,215,,72,17380,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,1329,1670,0.796,685,2583,3268,1816,636,358,1067,1559,8118
2018-19,NBA,TOR,58,24,1,,27.3,6-Jun,219,,82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384
2017-18,NBA,TOR,59,23,1,,25.8,6-Jun,223,,82,19830,3383,7169,0.472,968,2705,0.358,2415,4464,0.541,1422,1790,0.794,800,2807,3607,1995,626,500,1095,1783,9156
2016-17,NBA,TOR,51,31,2,,26.1,6-Jun,222,,82,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762
2015-16,NBA,TOR,56,26,1,,26.3,6-Jun,222,,82,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422
2014-15,NBA,TOR,49,33,1,,26.1,6-Jun,213,,82,19855,3108,6829,0.455,726,2060,0.352,2382,4769,0.499,1585,2014,0.787,881,2526,3407,1701,615,357,1057,1712,8527
2013-14,NBA,TOR,48,34,1,,25.6,6-Jun,211,,82,19955,2992,6718,0.445,713,1917,0.372,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305
2012-13,NBA,TOR,34,48,5,,25.4,6-Jun,213,,82,19980,2979,6685,0.446,571,1665,0.343,2408,5020,0.48,1442,1831,0.788,871,2426,3297,1765,595,392,1124,1836,7971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,MIL,58,24,1,,29.8,6-Jun,225,,82,19830,3504,7411,0.473,1217,3306,0.368,2287,4105,0.557,1364,1837,0.743,914,3074,3988,2115,521,403,1199,1481,9589
2021-22,NBA,MIL,51,31,1,,28.5,6-Jun,220,,82,19755,3429,7331,0.468,1153,3151,0.366,2276,4180,0.544,1459,1881,0.776,840,2990,3830,1960,623,326,1100,1494,9470
2020-21,NBA,MIL,46,26,1,,28.1,6-Jun,225,,72,17330,3221,6610,0.487,1038,2669,0.389,2183,3941,0.554,1169,1539,0.76,741,2724,3465,1834,585,334,995,1244,8649
2019-20,NBA,MIL,56,17,1,,29.2,6-Jun,228,,73,17595,3160,6638,0.476,1007,2840,0.355,2153,3798,0.567,1336,1800,0.742,691,3083,3774,1889,526,429,1102,1431,8663
2018-19,NBA,MIL,60,22,1,,26.9,7-Jun,227,,82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686
2017-18,NBA,MIL,44,38,3,,25.9,7-Jun,218,,82,19830,3257,6807,0.478,718,2024,0.355,2539,4783,0.531,1499,1915,0.783,688,2579,3267,1905,722,443,1134,1752,8731
2016-17,NBA,MIL,42,40,2,,25.6,7-Jun,223,,82,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497
2015-16,NBA,MIL,33,49,5,,23.5,8-Jun,228,,82,19830,3145,6740,0.467,440,1277,0.345,2705,5463,0.495,1392,1863,0.747,858,2559,3417,1895,672,475,1247,1695,8122
2014-15,NBA,MIL,41,41,3,,24.6,7-Jun,216,,82,19930,3083,6722,0.459,545,1500,0.363,2538,5222,0.486,1312,1734,0.757,876,2574,3450,1932,789,403,1373,1814,8023
2013-14,NBA,MIL,15,67,5,,24.7,7-Jun,214,,82,19880,2952,6737,0.438,548,1553,0.353,2404,5184,0.464,1377,1843,0.747,971,2399,3370,1760,541,403,1238,1713,7829
2012-13,NBA,MIL,38,44,3,,26.4,6-Jun,209,,82,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,CLE,51,31,2,,25.4,6-Jun,219,,82,19880,3408,6984,0.488,950,2589,0.367,2458,4395,0.559,1439,1844,0.78,795,2574,3369,2045,586,384,1094,1560,9205
2021-22,NBA,CLE,44,38,3,,24.7,7-Jun,220,,82,19730,3255,6940,0.469,953,2686,0.355,2302,4254,0.541,1376,1810,0.76,837,2786,3623,2064,580,343,1181,1433,8839
2020-21,NBA,CLE,22,50,4,,24,6-Jun,223,,72,17430,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,1200,1614,0.743,751,2327,3078,1716,559,325,1114,1308,7476
2019-20,NBA,CLE,19,46,5,,25,5-Jun,221,,65,15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948
2018-19,NBA,CLE,19,63,5,,25.2,6-Jun,214,,82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567
2017-18,NBA,CLE,50,32,1,,30.6,6-Jun,227,,82,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091
2016-17,NBA,CLE,51,31,1,,29.2,6-Jun,228,,82,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048
2015-16,NBA,CLE,57,25,1,,28.1,7-Jun,231,,82,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555
2014-15,NBA,CLE,53,29,1,,26.9,7-Jun,225,,82,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457
2013-14,NBA,CLE,33,49,3,,24.9,6-Jun,217,,82,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054
2012-13,NBA,CLE,24,58,5,,24.1,6-Jun,216,,82,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,NBA,CHI,40,42,3,,27.5,6-Jun,214,,82,19905,3488,7116,0.49,854,2367,0.361,2634,4749,0.555,1446,1788,0.809,694,2779,3473,2006,644,371,1097,1551,9276
2021-22,NBA,CHI,46,36,2,,26.3,6-Jun,213,,82,19730,3422,7127,0.48,872,2364,0.369,2550,4763,0.535,1436,1766,0.813,711,2760,3471,1958,585,336,1053,1540,9152
2020-21,NBA,CHI,31,41,3,,25.6,7-Jun,218,,72,17380,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,995,1258,0.791,693,2544,3237,1927,482,304,1089,1362,7969
2019-20,NBA,CHI,22,43,3,,24.4,7-Jun,219,,65,15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945
2018-19,NBA,CHI,22,60,4,,24,6-Jun,218,,82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605
